id,name,launched,deadline,goal,pledged,backers,outcome,country,currency,category,sub_category
1,Ragdolls,4/25/13 0:00,5/25/13 0:00,15000,20,3,failed,US,USD,Film & Video,Webseries
2,One To Ten,11/16/15 0:00,12/16/15 0:00,223.68,413.81,23,successful,GB,GBP,Film & Video,Shorts
3,Future Gun - A short film about kids and advanced hardware,8/28/13 0:00,9/27/13 0:00,5000,1497,28,failed,US,USD,Film & Video,Animation
4,Fourth Wave Apparel—Vintage Fashion for the Modern Feminist,7/22/14 0:00,8/21/14 0:00,6000,8795,218,successful,US,USD,Fashion,Apparel
5,The Rich Lifestyle,8/24/16 0:00,9/28/16 0:00,2000000,2,2,failed,US,USD,Film & Video,Documentary
6,Perils Galore!,9/25/12 0:00,11/1/12 0:00,2500,230,5,failed,US,USD,Art,Illustration
7,In a Dark Dark House - Directed by Larry Moss,7/1/14 0:00,8/15/14 0:00,55000,9316,45,failed,US,USD,Theater,Theater
8,CHARLIEFOXTROTNY,5/21/14 0:00,6/20/14 0:00,6000,161,4,failed,US,USD,Film & Video,Webseries
9,Fat Englishmen - Beer and Sumo,3/3/15 0:00,4/2/15 0:00,50000,0,0,failed,US,USD,Film & Video,Comedy
10,bear elements old-fashioned shave and beard care for men,4/14/16 0:00,5/14/16 0:00,12000,306,11,failed,US,USD,Crafts,Crafts
11,DigIndustrial Art,6/19/14 0:00,7/9/14 0:00,30000,111,4,failed,US,USD,Art,Digital Art
12,Expanding Farm to service the local Food Bank,6/13/16 0:00,7/13/16 0:00,2500,405,5,failed,US,USD,Food,Farms
13,Church Hive. Church hiring made easy!,9/1/16 0:00,10/1/16 0:00,16800,101,2,failed,US,USD,Technology,Web
14,The Visual Media Directory Project,3/7/12 0:00,5/6/12 0:00,10000,2,2,failed,US,USD,Art,Public Art
15,Too Sweet - The Not So Serious Side to Diabetes,1/16/14 0:00,2/15/14 0:00,2500,2525,6,successful,US,USD,Publishing,Nonfiction
16,“Baby Hungry” Short Film Finishing Funds,10/27/10 0:00,11/26/10 0:00,1500,1525,23,successful,US,USD,Film & Video,Shorts
17,"Turn ""solvents-forgive yr. blood"" into 12 inches of vinyl!!",4/20/11 0:00,5/20/11 0:00,1000,1494,43,successful,US,USD,Music,Music
18,Fishin' for Chickens,11/14/11 0:00,11/30/11 0:00,2695,3667.13,75,successful,US,USD,Film & Video,Shorts
19,ROAM RECORD FUND,9/29/10 0:00,10/29/10 0:00,5000,5847,99,successful,US,USD,Music,Rock
20,William Charles and Dirt Road Trippers NEW EP,10/9/12 0:00,12/8/12 0:00,800,425,8,failed,US,USD,Music,Rock
21,Vega - Six String Theory - Alternative Rap Album Production,4/14/14 0:00,5/14/14 0:00,3500,1,1,failed,US,USD,Music,Hip-Hop
22,Life Planner,11/9/15 0:00,12/8/15 0:00,10004.09,4453.34,161,failed,GB,GBP,Design,Product Design
23,Number Ten Pond - 2014 Calendar,7/26/13 0:00,8/20/13 0:00,3800,1488,43,failed,US,USD,Photography,Photography
24,Chosen Gospel single 'Make me a Believer',8/13/13 0:00,9/3/13 0:00,701.02,20.25,3,failed,GB,GBP,Music,World Music
25,OILOVE YOU,9/17/14 0:00,11/7/14 0:00,17000,20,1,failed,US,USD,Food,Food
26,Up Against The Downturn,6/22/11 0:00,7/22/11 0:00,5600,1026,9,failed,US,USD,Film & Video,Documentary
27,Mosquito Wars,6/13/12 0:00,7/13/12 0:00,15000,1401,11,failed,US,USD,Film & Video,Documentary
28,Bev's First Studio EP! - The Noble House of Pancake,11/14/14 0:00,12/14/14 0:00,12000,12545,224,successful,US,USD,Music,Pop
29,Clean Water For Africa,8/12/14 0:00,10/11/14 0:00,50,30,2,failed,US,USD,Film & Video,Narrative Film
30,"Mercurial Theatre Presents: HP Lovecraft's ""Call of Cthulhu""",5/9/17 0:00,6/8/17 0:00,5000,1651,25,failed,US,USD,Theater,Experimental
31,BLACKOUT: The Eradication Protocols,5/9/17 0:00,6/18/17 0:00,5200,6419,225,successful,US,USD,Comics,Comic Books
32,"Men's Fashion, the next big thing.",6/5/14 0:00,7/5/14 0:00,800,0,0,failed,US,USD,Fashion,Fashion
33,Jack Daniels Cake,7/18/14 0:00,8/17/14 0:00,3000,0,0,failed,US,USD,Food,Food
34,See the time in every timezone on earth on one Orbi Clock,2/19/14 0:00,4/5/14 0:00,8900,281,5,failed,US,USD,Design,Design
35,Moveable Movie Production Studios for Educators,1/22/17 0:00,2/22/17 0:00,10608.95,0,0,failed,DE,EUR,Film & Video,Film & Video
36,NASHVILLE RISES,1/27/11 0:00,3/13/11 0:00,4000,4001,15,successful,US,USD,Film & Video,Film & Video
37,Donald Trump Plush with Audio. Checklist on Back of Box.,10/11/16 0:00,11/8/16 0:00,35000,185,6,failed,US,USD,Design,Product Design
38,Mind Magnet - Watch for teaching children to stay on task,6/11/17 0:00,7/11/17 0:00,25000,0,0,canceled,US,USD,Technology,Wearables
39,Cold War 2,5/11/14 0:00,6/10/14 0:00,2500,281,15,failed,US,USD,Games,Video Games
40,Jersey Shoresical:A Frickin' Rock Opera,6/17/11 0:00,7/17/11 0:00,8000,8086,73,successful,US,USD,Theater,Theater
41,Fridge Feet,12/7/13 0:00,1/6/14 0:00,20000,1254,49,failed,US,USD,Design,Product Design
42,Fat Boy's Nerd Emporium,7/16/14 0:00,8/15/14 0:00,5000,0,0,failed,US,USD,Games,Gaming Hardware
43,Little Fears Nightmare Edition - Blessed are the Children,8/22/13 0:00,9/21/13 0:00,1500,9071,164,successful,US,USD,Games,Tabletop Games
44,Lest We Forget,5/12/16 0:00,6/11/16 0:00,11627.01,82.16,3,failed,CA,CAD,Comics,Comic Books
45,"1000 Haiku, 1000 Strangers",11/20/10 0:00,12/25/10 0:00,1500,5276.01,228,successful,US,USD,Publishing,Poetry
46,Field Reflections: The Final Painting,9/12/12 0:00,10/15/12 0:00,3000,4268,18,successful,US,USD,Art,Painting
47,The Kitchen: a space for participatory cooking & dining,12/6/12 0:00,1/15/13 0:00,40000,45026,309,successful,US,USD,Food,Food
48,The Harriet Experiment,1/18/12 0:00,3/18/12 0:00,70000,7071,91,failed,US,USD,Film & Video,Documentary
49,The Modern Day Briefcase,3/1/16 0:00,4/16/16 0:00,40000,242014,1287,successful,US,USD,Design,Product Design
50,TOGA: The Holder | Upgrade | Keychain for EOS® Lip Balms,10/5/16 0:00,11/4/16 0:00,5000,912,19,canceled,US,USD,Design,Product Design
51,Grain35: Beautiful 35mm Film Grain Scans For Your DSLR Video,3/21/12 0:00,4/11/12 0:00,15000,26206,255,successful,US,USD,Technology,Technology
52,FLIE Rings - Colorful Anodized Aluminum Rings for Life,8/6/15 0:00,9/5/15 0:00,2000,10604,285,successful,US,USD,Fashion,Accessories
53,"""Friday Night Monkey Fights"" the Mobile App!",1/12/12 0:00,2/11/12 0:00,30000,30,2,failed,US,USD,Games,Video Games
54,GIULIA,4/5/12 0:00,5/15/12 0:00,6000,6000,35,successful,US,USD,Film & Video,Shorts
55,Personalised full length novels for children,5/16/17 0:00,6/15/17 0:00,6384.55,40.86,1,failed,GB,GBP,Publishing,Children's Books
56,"Publish my first horror novel, make a trailer & short films",7/15/14 0:00,8/14/14 0:00,20000,310,3,failed,US,USD,Film & Video,Horror
57,"1,000 Stars Festival, Documentary ",9/28/09 0:00,10/24/09 0:00,5000,5117,32,successful,US,USD,Film & Video,Documentary
58,Fittersift: Introducing Responsive Textile Technology,12/15/14 0:00,1/29/15 0:00,25000,978,8,failed,US,USD,Fashion,Apparel
59,Jake Jude T-Shirt (Official),9/15/14 0:00,9/29/14 0:00,375,0,0,failed,US,USD,Fashion,Apparel
60,Chris Henry and The Hardcore Grass,6/8/12 0:00,7/8/12 0:00,10000,2470,46,failed,US,USD,Music,Music
61,A wee Coffee,9/8/15 0:00,10/9/15 0:00,33746.99,15.34,1,failed,GB,GBP,Food,Drinks
62,The Horde and the Harem - Full Length Album!,5/5/11 0:00,7/4/11 0:00,5000,5475,55,successful,US,USD,Music,Pop
63,Letters To Me,7/11/17 0:00,8/30/17 0:00,50000,4373,30,canceled,US,USD,Publishing,Nonfiction
64,Knight's Destiny - Dungeon RPG/MMORPG,1/1/14 0:00,2/15/14 0:00,4000,306,9,failed,US,USD,Games,Video Games
65,Creatures of Habitat For Sale,1/1/10 0:00,2/14/10 0:00,2222,2246,56,successful,US,USD,Theater,Theater
66,Online therapist directory - Click For Therapy (Canceled),9/17/15 0:00,10/17/15 0:00,41590.93,0,0,canceled,GB,GBP,Technology,Web
67,Lick My Assise!,9/30/15 0:00,10/30/15 0:00,50000,300,2,failed,US,USD,Design,Product Design
68,New EP from Jon Swift,3/3/12 0:00,3/17/12 0:00,2500,2880,61,successful,US,USD,Music,Music
69,Punch'em Scrunch'em Robots,7/4/15 0:00,8/3/15 0:00,7000,1752,38,failed,US,USD,Games,Tabletop Games
70,WE MEAN YOU NO HARM,10/13/14 0:00,11/6/14 0:00,8000,8046,60,successful,US,USD,Film & Video,Narrative Film
71,Behind the Lens: Charlotte,4/29/14 0:00,5/29/14 0:00,10000,0,0,failed,US,USD,Photography,Photobooks
72,Blit - Mobile App to Screenshot Websites with Login,11/15/17 0:00,12/27/17 0:00,5000,57,2,failed,US,USD,Technology,Apps
73,"""Must Be Nice"" at the Fillet of Solo Festival in Chicago",6/13/11 0:00,7/13/11 0:00,740,870,17,successful,US,USD,Theater,Theater
74,The Return Voyage of Christopher Mackenzie,4/4/12 0:00,4/18/12 0:00,1500,1592,57,successful,US,USD,Music,Music
75,NOZ,9/28/15 0:00,11/27/15 0:00,25000,668,26,failed,US,USD,Design,Product Design
76,Club Universe,3/17/12 0:00,4/16/12 0:00,10000,0,0,failed,US,USD,Music,Electronic Music
77,Taft Sturgeon,7/6/17 0:00,7/30/17 0:00,4000,4063,103,successful,US,USD,Comics,Comic Books
78,Samuel B. Lupowitz & The Ego Band - first album release,4/6/12 0:00,5/19/12 0:00,2000,2345,40,successful,US,USD,Music,Rock
79,Bringing Jamaican Patties To Your Neck Of The Wood,4/9/15 0:00,6/8/15 0:00,125000,206,3,failed,US,USD,Food,Restaurants
80,THE AVENUE,9/29/15 0:00,10/29/15 0:00,2500,2500,39,successful,US,USD,Music,Blues
81,Personalized Picture Slide Lamps,1/9/15 0:00,2/8/15 0:00,75,1,1,failed,US,USD,Design,Product Design
82,Drone on the Farm: An Aerial Exposé,6/9/14 0:00,7/9/14 0:00,30000,75064.49,1312,successful,US,USD,Journalism,Journalism
83,Employee evaluation and performance management web app,8/22/17 0:00,9/21/17 0:00,2035.22,67.84,1,failed,GB,GBP,Technology,Software
84,Berghain: A Game for 2–6 Players About Getting In,11/7/16 0:00,12/7/16 0:00,9806.06,6720.96,240,suspended,SE,SEK,Games,Tabletop Games
85,"""Deferral"": A Video Installation by EL Putnam",3/15/11 0:00,4/30/11 0:00,1000,5,1,failed,US,USD,Art,Performance Art
86,Help Lancaster Make Their Next Album!,3/7/14 0:00,4/6/14 0:00,15750,2587.11,29,failed,US,USD,Music,Rock
87,"DAME - Introvert Dame - ""Bad Biti"" Music Video First Single",11/21/17 0:00,12/21/17 0:00,600,0,0,failed,US,USD,Music,Hip-Hop
88,"Steve Shane's ""Every Pretty Smile"" Music Video",4/21/11 0:00,5/21/11 0:00,2000,2251,52,successful,US,USD,Music,Pop
89,Carousel Love (Canceled),11/5/14 0:00,12/5/14 0:00,3921.45,54.9,1,canceled,GB,GBP,Art,Art
90,"Maggie, Therapy Dog in Training's 1st Car Sticker Pre-Order!",7/10/15 0:00,7/19/15 0:00,500,61,4,failed,US,USD,Art,Public Art
91,Metro760 LGBT Newspaper for the Palm Springs CA area,2/6/15 0:00,2/28/15 0:00,7500,0,0,undefined,"N,0""",USD,Publishing,Publishing
92,Ahead of the Chains,10/18/17 0:00,11/27/17 0:00,9000,9170,53,successful,US,USD,Publishing,Nonfiction
93,Tiles Publications,7/15/14 0:00,8/16/14 0:00,4000,711,20,failed,US,USD,Publishing,Poetry
94,Nudz: Banishing Beige as the Default Nude for Lingerie,7/13/15 0:00,8/19/15 0:00,30000,31376,108,successful,US,USD,Fashion,Fashion
95,THE WINGCASE - The Smartest Briefcase in the World.,10/3/16 0:00,11/2/16 0:00,27732.48,55619.77,166,successful,DE,EUR,Design,Product Design
96,The Yowler: a community built DIY noise synth,11/30/16 0:00,1/1/17 0:00,2934.7,6883.35,105,successful,AU,AUD,Technology,Sound
97,Natalie Wells Band brand new recording project!,5/25/13 0:00,6/24/13 0:00,6750,2245,32,failed,US,USD,Music,Rock
98,Central Florida Music Commissioning Project,7/6/16 0:00,8/5/16 0:00,18000,1979,16,canceled,US,USD,Music,Music
99,LFC & LOCO Bubble Soccer (Canceled),2/12/16 0:00,3/14/16 0:00,50000,5816,24,canceled,US,USD,Games,Games
100,"""My Favorite Color is Brown""",12/26/11 0:00,2/24/12 0:00,5000,20,1,failed,US,USD,Publishing,Children's Books
101,UBER Taxi Cab Confessions,2/18/17 0:00,3/25/17 0:00,1500,9,1,canceled,US,USD,Publishing,Nonfiction
102,Enamel Pin: Stay the Course,7/12/17 0:00,8/1/17 0:00,795.42,465.32,27,failed,CA,CAD,Fashion,Accessories
103,Mal-Mart Mega Store - Burning Man 2010,7/28/10 0:00,8/23/10 0:00,1500,1620,16,successful,US,USD,Art,Performance Art
104,Try and Review all the Microwave Recipes I Ever Find,2/23/15 0:00,3/25/15 0:00,100,0,0,failed,US,USD,Food,Cookbooks
105,Gluten Free Cookies with an Old Fashioned Taste!,9/19/12 0:00,11/5/12 0:00,10000,1486,27,failed,US,USD,Food,Food
106,The Demons Within,10/1/17 0:00,11/5/17 0:00,2200,2225,48,successful,US,USD,Publishing,Fiction
107,Pro Pinball®: Revived & Remastered,9/5/12 0:00,10/5/12 0:00,400000,174010.09,1296,failed,US,USD,Games,Video Games
108,BlueKangaroo - Do more with your Bluetooth Location Trackers,4/19/16 0:00,5/24/16 0:00,8000,1028,24,failed,US,USD,Technology,Technology
109,Breaker Blocks,11/12/15 0:00,12/12/15 0:00,8000,1643,55,failed,US,USD,Games,Tabletop Games
110,My Hip Hop Debut: The Yamazawa EP,1/20/16 0:00,2/12/16 0:00,3000,4229,81,successful,US,USD,Music,Hip-Hop
111,Translation for my father's novel,4/5/11 0:00,7/4/11 0:00,12000,12080,30,successful,US,USD,Publishing,Translations
112,"""An Adventure with Friends"", a family friendly comedy",8/30/11 0:00,9/29/11 0:00,12000,225,3,failed,US,USD,Film & Video,Film & Video
113,SPOUGEFEST,3/26/16 0:00,5/24/16 0:00,25000,50,1,failed,US,USD,Music,World Music
114,Become a part of Papi Churro - THE NEXT CHAPTER!,12/8/17 0:00,1/7/18 0:00,6068.48,2230.77,9,live,NL,EUR,Food,Food Trucks
115,Dogbed,1/8/16 0:00,2/7/16 0:00,2000,30,2,failed,US,USD,Design,Product Design
116,Gothic Line Museum - Il Museo della Linea Gotica,11/13/17 0:00,1/12/18 0:00,121369.53,316.77,4,live,IT,EUR,Art,Art
117,"Paul Dietrich Quintet debut album - ""We Always Get There""",10/31/13 0:00,11/28/13 0:00,3000,3260,77,successful,US,USD,Music,Jazz
118,A Story about an alcoholic wizard who fucks bitches.,8/6/15 0:00,9/5/15 0:00,500,10,2,failed,US,USD,Publishing,Fiction
119,EAST Urban Salsa,4/1/16 0:00,5/1/16 0:00,8000,0,0,failed,US,USD,Food,Small Batch
120,VR Homebox,10/1/15 0:00,11/20/15 0:00,200000,170,5,failed,US,USD,Technology,Apps
121,"Colour Chess + Lure - Two games, one colourful board!",3/24/17 0:00,4/14/17 0:00,4472.39,4864.68,81,successful,GB,GBP,Games,Tabletop Games
122,The Truckiest Truck,7/2/17 0:00,8/1/17 0:00,210,80,6,failed,US,USD,Technology,Web
123,THE CANDYMAN: He mixes it with love,4/7/15 0:00,5/17/15 0:00,20000,150,2,failed,US,USD,Food,Food
124,Michael fitness You-tuber Channel,1/2/15 0:00,2/1/15 0:00,3829.48,3.06,2,failed,GB,GBP,Film & Video,Documentary
125,the Kurdi Margolis Wright Trio @ CCLC Trescott ME,3/23/16 0:00,4/2/16 0:00,600,20,1,failed,US,USD,Theater,Experimental
126,Clive Barker Presents: The Sickness - A Trailer with Bite,6/21/11 0:00,7/21/11 0:00,7500,7800,69,successful,US,USD,Film & Video,Shorts
127,Lost Orchards Finish Long Forgotten EP,10/3/12 0:00,12/2/12 0:00,700,734.5,34,successful,US,USD,Music,Indie Rock
128,Sindicate  3D - Rol Game,8/27/15 0:00,9/26/15 0:00,22319.93,0,0,failed,ES,EUR,Games,Mobile Games
129,Between the Shadow and the Soul,7/24/12 0:00,9/10/12 0:00,1000,1000,21,successful,US,USD,Dance,Dance
130,The Step Afrika! Experience! ,10/11/10 0:00,11/25/10 0:00,2500,2685,18,successful,US,USD,Dance,Dance
131,Tell Me Something,3/7/13 0:00,4/6/13 0:00,20000,26936.4,445,successful,US,USD,Publishing,Nonfiction
132,My First Fiction Novel,2/19/15 0:00,4/20/15 0:00,12000,0,0,failed,US,USD,Publishing,Fiction
133,One Country United (Canceled),6/24/16 0:00,7/24/16 0:00,8000,0,0,canceled,US,USD,Fashion,Apparel
134,Groove in the Grove,7/9/15 0:00,7/30/15 0:00,300,0,0,failed,US,USD,Music,Music
135,"""The Vicarious Eye""Artist's Residency with a conscience",11/22/13 0:00,12/22/13 0:00,4303,0,0,canceled,US,USD,Art,Public Art
136,? Infinity Edition Galaxy Cards ?,10/9/13 0:00,10/17/13 0:00,88,4587,155,successful,US,USD,Games,Tabletop Games
137,Catch the Leprechaun,3/5/15 0:00,4/4/15 0:00,450,0,0,failed,US,USD,Games,Mobile Games
138,"COUPLE FRIENDS, a comedy short",3/19/15 0:00,4/18/15 0:00,5000,5001,68,successful,US,USD,Film & Video,Shorts
139,Insecticides made using Olive Oil & other Edible Ingredients,8/31/15 0:00,9/30/15 0:00,8700,2046,15,failed,US,USD,Food,Farms
140,American retro diner,12/10/15 0:00,1/9/16 0:00,218281.04,0,0,failed,ES,EUR,Food,Restaurants
141,BICYCLE DAY Lives!!!!,2/26/13 0:00,3/28/13 0:00,5000,5316,81,successful,US,USD,Film & Video,Film & Video
142,THE PRESIDENT CAPTURED: THE DOCUMENTARY,7/2/15 0:00,8/10/15 0:00,19995,2751,14,failed,US,USD,Film & Video,Documentary
143,Aki - The Best Minimalist Bifold Slim Wallet,10/6/15 0:00,11/20/15 0:00,3604.64,93856.97,1415,successful,AU,AUD,Design,Product Design
144,March Forth,2/9/16 0:00,2/24/16 0:00,1000,26,2,failed,US,USD,Publishing,Fiction
145,Rediscovering authentic & stunning home cooking.,1/28/16 0:00,2/27/16 0:00,4500,1,1,failed,US,USD,Food,Food
146,Invitations and Party Decorations,7/12/14 0:00,8/26/14 0:00,400,0,0,failed,US,USD,Design,Graphic Design
147,Faire De Largent Mula,2/9/15 0:00,3/11/15 0:00,20000,0,0,failed,US,USD,Fashion,Apparel
148,Super Awesome scavanger hunt (Suspended),1/2/13 0:00,2/16/13 0:00,250,0,0,suspended,US,USD,Games,Games
149,Earthly Pleasures: A Fashion Film,6/12/13 0:00,7/1/13 0:00,2994.15,3048.04,21,successful,GB,GBP,Film & Video,Shorts
150,Patrick and Cris Make A Movie (and you get a copy),6/4/10 0:00,7/25/10 0:00,50000,5558,42,failed,US,USD,Film & Video,Narrative Film
151,Wonder Sneakers: The Truly Hands-free Sneakers,12/24/16 0:00,2/2/17 0:00,73460.23,593.09,20,canceled,HK,HKD,Design,Product Design
152,The Rainbow Journal. Poetry of the Armageddon.,3/3/12 0:00,5/2/12 0:00,1000,0,0,failed,US,USD,Publishing,Poetry
153,Playing Cards The Venture Deck RE-LAUNCH By GilaFiction,10/6/15 0:00,11/7/15 0:00,950,2512,107,successful,US,USD,Design,Graphic Design
154,BUNNY RACKET - A rock 'n' roll web series for kids!,9/1/16 0:00,10/1/16 0:00,37901.76,38423.29,297,successful,AU,AUD,Film & Video,Webseries
155,"""I Want Some Nasty"" San Antonio Spurs t-shirt",5/30/12 0:00,6/14/12 0:00,850,0,0,failed,US,USD,Fashion,Fashion
156,For What it's Worth,3/17/16 0:00,4/11/16 0:00,1276.23,1418.04,36,successful,GB,GBP,Film & Video,Fantasy
157,Postscript,4/19/12 0:00,5/29/12 0:00,100,25,2,failed,US,USD,Publishing,Fiction
158,Support Brooklyn Youth Media Projects!,11/17/10 0:00,12/11/10 0:00,2000,4736,57,successful,US,USD,Film & Video,Shorts
159,She Inspires 365,4/17/12 0:00,5/22/12 0:00,10000,10538.02,185,successful,US,USD,Publishing,Art Books
160,Jesus Christ Superstar-Indiana,4/25/12 0:00,6/24/12 0:00,3200,500,1,failed,US,USD,Theater,Theater
161,Protect or Infect,3/16/13 0:00,4/15/13 0:00,15000,3221,50,failed,US,USD,Games,Tabletop Games
162,'Gone Missing' Kickstarter for Studio 301 Productions,2/9/15 0:00,3/2/15 0:00,750,755,8,successful,US,USD,Theater,Musical
163,M.A.D. a Web Series,3/6/17 0:00,4/15/17 0:00,2000,6,2,failed,US,USD,Film & Video,Drama
164,"Editing ""Blind Faith""",3/13/14 0:00,4/27/14 0:00,2500,100,2,failed,US,USD,Publishing,Fiction
165,"The Coal War – a documentary about hope, change, and one unstoppable grandmother",6/1/10 0:00,7/18/10 0:00,13125,5465.02,96,failed,US,USD,Film & Video,Documentary
166,TRI Magazine,1/22/15 0:00,2/21/15 0:00,11240,563.12,16,failed,IE,EUR,Publishing,Publishing
167,Mobile/Tablet In Game Advertising & Interactive Games Studio,5/15/14 0:00,6/14/14 0:00,89000,0,0,failed,US,USD,Games,Mobile Games
168,The Adventures of HarleyQuinn,2/19/13 0:00,3/21/13 0:00,910.98,921.61,19,successful,GB,GBP,Publishing,Children's Books
169,Through The Rough (Canceled),5/27/15 0:00,6/26/15 0:00,20000,0,0,canceled,US,USD,Technology,Web
170,"COOPER'S PROMISE, a novel",11/16/11 0:00,1/15/12 0:00,1000,2556,60,successful,US,USD,Publishing,Fiction
171,2031 Film,10/30/14 0:00,11/17/14 0:00,548.88,619.45,18,successful,GB,GBP,Film & Video,Science Fiction
172,Sean Sullivan Photography - The Thrasher years - book,1/3/14 0:00,2/2/14 0:00,15000,443.25,18,failed,US,USD,Photography,Photography
173,My Alibi Clothing~ Bloomers & Beyond,5/9/12 0:00,6/9/12 0:00,25000,25815,213,successful,US,USD,Fashion,Fashion
174,Escultura Venezolana En Nieve/ Venezuelan Snow Sculpture,11/21/16 0:00,12/21/16 0:00,3495.63,42.92,3,failed,CA,CAD,Art,Sculpture
175,Kegged homebrew for all!,8/8/14 0:00,9/4/14 0:00,440,586,17,successful,US,USD,Crafts,DIY
176,Robotech Take Over,8/1/14 0:00,8/31/14 0:00,100000000,3577,27,failed,US,USD,Publishing,Fiction
177,Finding our Spirit (Canceled),1/28/15 0:00,2/27/15 0:00,15000,0,0,canceled,US,USD,Photography,Photography
178,Bethany Barnard,9/26/16 0:00,10/26/16 0:00,20000,25201,860,successful,US,USD,Music,Music
179,What Might Have Been,6/6/12 0:00,6/27/12 0:00,2100,5,1,failed,US,USD,Publishing,Fiction
180,Purple Heart Acres Challenge Coin Fundraiser,8/28/15 0:00,9/12/15 0:00,1500,2295,24,successful,US,USD,Design,Product Design
181,Simple Work Attendance Sheet (S.work.a.S.),10/12/15 0:00,11/6/15 0:00,1412.32,17.38,1,failed,IT,EUR,Technology,Software
182,Finally For Ever - Eric Fritts Debut Album,3/2/15 0:00,3/31/15 0:00,10000,11722,170,successful,US,USD,Music,Music
183,the GLIDEARM,12/8/15 0:00,1/20/16 0:00,25000,35987,85,successful,US,USD,Technology,Camera Equipment
184,Risenfall,9/6/15 0:00,10/12/15 0:00,4316.81,6300.27,224,successful,IT,EUR,Comics,Graphic Novels
185,Relics and Cycledelics,10/7/14 0:00,11/1/14 0:00,1200,489,9,failed,US,USD,Art,Art
186,The Background of Anne,6/24/15 0:00,7/1/15 0:00,10000,0,0,failed,US,USD,Publishing,Nonfiction
187,Democracy and Freedom for China,12/3/14 0:00,2/1/15 0:00,8035.36,8.04,3,failed,CA,CAD,Art,Mixed Media
188,Travel Thru History - Educational Television Series,3/10/12 0:00,3/31/12 0:00,5000,5226,32,successful,US,USD,Film & Video,Film & Video
189,Wooden Jigsaw Puzzles by Hartwig Braun,10/13/14 0:00,11/12/14 0:00,15654.6,2044.49,23,failed,GB,GBP,Games,Puzzles
190,Experiment Z: Multiplayer Zombie Survival on Mobile,10/11/15 0:00,11/10/15 0:00,37579.86,22.55,2,canceled,CA,CAD,Games,Mobile Games
191,Las Escrituras Satánicas by Peter H. Gilmore,4/30/12 0:00,6/10/12 0:00,9000,10694.67,83,successful,US,USD,Publishing,Nonfiction
192,"Help me cook a £10,000 curry",3/30/15 0:00,4/4/15 0:00,14591.3,1.46,1,failed,GB,GBP,Food,Small Batch
193,Rosetta: A Lua hardware platform,6/22/15 0:00,7/22/15 0:00,100000,801,9,failed,US,USD,Technology,DIY Electronics
194,Mourning Star's 1st 4 albums,7/22/14 0:00,8/21/14 0:00,14000,0,0,failed,US,USD,Music,Music
195,Queen City Hornets T-Shirt,7/29/12 0:00,8/22/12 0:00,2500,1075,43,failed,US,USD,Fashion,Fashion
196,Mistakes,8/31/16 0:00,9/24/16 0:00,1000,55,3,failed,US,USD,Film & Video,Film & Video
197,The Evon Enamel Pin Preorder!,7/14/17 0:00,8/13/17 0:00,770,236,15,failed,US,USD,Fashion,Accessories
198,The Conversation,11/21/13 0:00,1/16/14 0:00,5000,1310,20,failed,US,USD,Film & Video,Shorts
199,"Ryan Snook's Thesis Film ""META""",10/13/17 0:00,11/7/17 0:00,197.32,285.71,8,successful,CA,CAD,Film & Video,Drama
200,The End War,1/12/13 0:00,1/23/13 0:00,500,66,4,failed,US,USD,Film & Video,Documentary
201,#ClearBackstop (Canceled),4/6/15 0:00,5/3/15 0:00,27494,0,0,canceled,US,USD,Design,Product Design
202,Making Bubbles,6/13/14 0:00,7/28/14 0:00,1261.93,1406.1,57,successful,GB,GBP,Film & Video,Narrative Film
203,Air Guitar Move for iPhone,6/11/11 0:00,7/11/11 0:00,25000,31776,193,successful,US,USD,Games,Video Games
204,Masters of Blöödirön (Canceled),6/3/15 0:00,6/24/15 0:00,4600,270,18,canceled,US,USD,Games,Tabletop Games
205,CAMP - The Center for Advanced Media Production,5/17/14 0:00,6/16/14 0:00,23000,81,3,failed,US,USD,Film & Video,Film & Video
206,"Twelve Months of Healing, the Veil of Womanhood:",3/25/13 0:00,4/24/13 0:00,20000,345,6,failed,US,USD,Art,Art
207,CristaLight: Offer a piece of jewelry to your home.,10/4/17 0:00,11/3/17 0:00,23314.1,638.81,4,canceled,BE,EUR,Design,Product Design
208,F(r)aming Reflections,8/22/11 0:00,9/22/11 0:00,650,740,20,successful,US,USD,Art,Mixed Media
209,The North Pole: A Comedic Web Series for The People,1/30/17 0:00,3/1/17 0:00,25000,25648,282,successful,US,USD,Film & Video,Webseries
210,The Free Art Project goes to Berlin,6/4/13 0:00,7/2/13 0:00,1500,1681,30,successful,US,USD,Art,Art
211,Football As Football - Merchandise,6/9/14 0:00,7/9/14 0:00,45000,8141,159,failed,US,USD,Design,Graphic Design
212,Buddhist Geeks Conference 2012,9/7/11 0:00,10/22/11 0:00,20000,25751,150,successful,US,USD,Technology,Technology
213,Beyond Clueless,12/15/12 0:00,1/14/13 0:00,15119.2,19106.52,505,successful,GB,GBP,Film & Video,Documentary
214,My First Emotions - Children's Educational Toolkit,5/3/17 0:00,6/2/17 0:00,6426.74,6428.02,32,successful,GB,GBP,Publishing,Publishing
215,FOREVERSE Virtual Reality Event Series,4/9/17 0:00,5/9/17 0:00,600000,451,9,canceled,US,USD,Games,Video Games
216,18 Days in Egypt,1/20/12 0:00,2/19/12 0:00,18000,20142.18,325,successful,US,USD,Technology,Technology
